%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 5 Lot M10110805 915 with a 0.10 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 40.00 percent torque
%idxPulse_0=0
%idxPulse_1=871
%idxPulse_2=-847
%idxPulse_3=0
%torque0AverageTorque=224.57
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,0.00,1162.00,0.109,802.00,-410.00,0.40,-0.05,1778.00,0.00
0.001,0.00,1162.00,0.135,802.00,-1000.00,0.40,0.07,1778.00,0.00
0.002,0.00,1178.00,0.128,801.00,-918.00,0.40,0.06,1780.00,0.00
0.003,0.00,1180.00,0.117,799.00,-1004.00,0.40,0.06,1782.00,0.00
0.004,0.00,1200.00,-0.107,796.00,-1076.00,0.40,0.05,1784.00,0.00
0.005,0.00,1120.00,-0.095,794.00,-1218.00,0.40,0.05,1778.00,0.00
0.006,0.00,1094.00,-0.090,791.00,-1350.00,0.40,0.04,1767.00,0.00
0.007,0.00,986.00,-0.085,789.00,-1398.00,0.40,0.04,1752.00,0.00
0.008,0.00,918.00,-0.072,787.00,-1498.00,0.40,0.03,1732.00,0.00
0.009,0.00,840.00,-0.063,786.00,-1500.00,0.40,0.03,1710.00,0.00
0.010,0.00,774.00,-0.060,785.00,-1524.00,0.40,0.03,1684.00,0.00
0.011,0.00,694.00,-0.055,785.00,-1514.00,0.40,0.02,1657.00,0.00
0.012,0.00,700.00,-0.048,786.00,-1456.00,0.40,0.02,1628.00,0.00
0.013,0.00,650.00,-0.044,787.00,-1402.00,0.40,0.02,1598.00,0.00
0.014,0.00,586.00,-0.035,789.00,-1330.00,0.40,0.02,1566.00,0.00
0.015,0.00,524.00,-0.033,790.00,-1242.00,0.40,0.02,1533.00,0.00
0.016,0.00,562.00,-0.038,791.00,-1176.00,0.40,0.01,1500.00,0.00
0.017,0.00,588.00,-0.026,792.00,-1116.00,0.40,0.01,1467.00,0.00
0.018,0.00,452.00,-0.026,792.00,-1088.00,0.40,0.01,1433.00,0.00
0.019,0.00,310.00,-0.026,792.00,-1066.00,0.40,0.01,1401.00,0.00
0.020,0.00,494.00,-0.031,792.00,-1084.00,0.40,0.01,1369.00,0.00
0.021,0.00,342.00,-0.027,791.00,-1132.00,0.40,0.01,1339.00,0.00
