%This file containts data collection taken by Trevor Stephens and Nathan Kong
%Used left spindle of tool number 5 Lot M10110805 915 with a 0.10 Hz Sine wave was implemented with and amplitude of 30.00 degrees, and a reaction torque of 100.00 percent torque
%idxPulse_0=0
%idxPulse_1=-299
%idxPulse_2=-414
%idxPulse_3=-2152
%torque0AverageTorque=315.12
%torque2ZeroLoad=0.00
%Back-end Time [ms], Back-end CUI Encoder [counts], Back-end Futek Torque [counts], Measured Current [Amps], Front-end Maxon Encoder [counts], Front-end Futek Torque [counts], Front-end Command [amps?], Back-end Command [-1:1], Back-end Maxon [counts], Trajectory Target [counts?]
0.000,1368.00,-134.00,-0.018,215.00,-201.00,1.00,-0.00,332.00,0.00
0.001,1368.00,-130.00,-0.023,214.00,-1893.00,1.00,-0.00,332.00,0.00
0.002,1368.00,-110.00,-0.016,211.00,-1803.00,1.00,-0.00,332.00,0.00
0.003,1368.00,-88.00,-0.028,207.00,-2071.00,1.00,-0.00,332.00,0.00
0.004,1368.00,0.00,-0.025,200.00,-2003.00,1.00,-0.00,332.00,0.00
0.005,1368.00,230.00,-0.022,192.00,-2311.00,1.00,-0.00,332.00,0.00
0.006,1368.00,558.00,-0.016,183.00,-2379.00,1.00,-0.00,332.00,0.00
0.007,1368.00,828.00,-0.017,174.00,-2689.00,1.00,-0.00,331.00,0.00
0.008,1369.00,1026.00,-0.017,165.00,-2803.00,1.00,-0.00,331.00,0.00
0.009,1369.00,1198.00,-0.009,156.00,-3105.00,1.00,-0.00,330.00,0.00
0.010,1369.00,1370.00,-0.011,148.00,-3295.00,1.00,-0.00,329.00,0.00
0.011,1369.00,1570.00,-0.009,142.00,-3583.00,1.00,-0.00,327.00,0.00
0.012,1369.00,1720.00,-0.006,137.00,-3683.00,1.00,-0.00,325.00,0.00
0.013,1370.00,1788.00,-0.009,135.00,-3799.00,1.00,-0.00,322.00,0.00
0.014,1370.00,1776.00,-0.011,134.00,-3753.00,1.00,-0.01,318.00,0.00
0.015,1370.00,1738.00,-0.012,136.00,-3763.00,1.00,-0.01,314.00,0.00
0.016,1371.00,1724.00,-0.009,139.00,-3577.00,1.00,-0.01,308.00,0.00
0.017,1371.00,1712.00,-0.013,144.00,-3355.00,1.00,-0.01,303.00,0.00
0.018,1371.00,1634.00,-0.009,149.00,-3015.00,1.00,-0.01,297.00,0.00
0.019,1371.00,1560.00,-0.001,154.00,-2787.00,1.00,-0.01,290.00,0.00
0.020,1372.00,1466.00,-0.012,158.00,-2527.00,1.00,-0.01,282.00,0.00
0.021,1372.00,1358.00,0.002,162.00,-2395.00,1.00,-0.01,275.00,0.00
0.022,1372.00,1268.00,0.000,165.00,-2247.00,1.00,-0.01,267.00,0.00
0.023,1373.00,1194.00,-0.007,166.00,-2219.00,1.00,-0.01,260.00,0.00
0.024,1373.00,1154.00,-0.009,166.00,-2207.00,1.00,-0.01,252.00,0.00
0.025,1373.00,1132.00,-0.005,165.00,-2295.00,1.00,-0.01,245.00,0.00
0.026,1374.00,1122.00,-0.009,163.00,-2395.00,1.00,-0.01,238.00,0.00
0.027,1374.00,1108.00,-0.001,161.00,-2563.00,1.00,-0.01,231.00,0.00
0.028,1375.00,1096.00,-0.010,158.00,-2759.00,1.00,-0.01,225.00,0.00
0.029,1375.00,1124.00,-0.003,155.00,-2963.00,1.00,-0.01,218.00,0.00
0.030,1375.00,1162.00,-0.001,152.00,-3107.00,1.00,-0.01,212.00,0.00
0.031,1376.00,1200.00,0.002,150.00,-3229.00,1.00,-0.01,206.00,0.00
0.032,1376.00,1230.00,0.004,149.00,-3289.00,1.00,-0.01,200.00,0.00
0.033,1377.00,1238.00,-0.001,148.00,-3313.00,1.00,-0.01,195.00,0.00
0.034,1377.00,1238.00,-0.001,149.00,-3271.00,1.00,-0.01,191.00,0.00
0.035,1377.00,1220.00,0.005,150.00,-3173.00,1.00,-0.01,186.00,0.00
0.036,1377.00,1208.00,-0.008,152.00,-3065.00,1.00,-0.01,182.00,0.00
0.037,1378.00,1194.00,0.008,154.00,-2927.00,1.00,-0.01,179.00,0.00
0.038,1378.00,1174.00,0.009,156.00,-2747.00,1.00,-0.01,176.00,0.00
0.039,1378.00,1156.00,0.000,157.00,-2627.00,1.00,-0.01,174.00,0.00
0.040,1378.00,1140.00,0.001,159.00,-2533.00,1.00,-0.01,171.00,0.00
0.041,1378.00,1132.00,0.017,160.00,-2479.00,1.00,-0.01,170.00,0.00
0.042,1378.00,1122.00,0.006,160.00,-2469.00,1.00,-0.01,169.00,0.00
0.043,1378.00,1118.00,0.005,159.00,-2519.00,1.00,-0.01,168.00,0.00
0.044,1378.00,1122.00,0.001,158.00,-2593.00,1.00,-0.01,168.00,0.00
0.045,1379.00,1120.00,0.002,156.00,-2691.00,1.00,-0.01,168.00,0.00
0.046,1379.00,1128.00,-0.002,155.00,-2825.00,1.00,-0.01,168.00,0.00
0.047,1379.00,1144.00,0.012,153.00,-2955.00,1.00,-0.01,168.00,0.00
0.048,1379.00,1164.00,0.008,152.00,-3047.00,1.00,-0.01,168.00,0.00
0.049,1379.00,1188.00,-0.011,151.00,-3121.00,1.00,-0.01,168.00,0.00
0.050,1379.00,1180.00,0.010,151.00,-3149.00,1.00,-0.01,168.00,0.00
0.051,1379.00,1186.00,0.000,151.00,-3139.00,1.00,-0.01,168.00,0.00
0.052,1379.00,1186.00,0.001,151.00,-3081.00,1.00,-0.01,168.00,0.00
0.053,1379.00,1186.00,0.014,152.00,-3003.00,1.00,-0.01,168.00,0.00
0.054,1379.00,1182.00,0.009,154.00,-2897.00,1.00,-0.01,168.00,0.00
0.055,1379.00,1182.00,0.006,155.00,-2787.00,1.00,-0.01,168.00,0.00
0.056,1379.00,1172.00,0.006,156.00,-2701.00,1.00,-0.01,168.00,0.00
0.057,1379.00,1176.00,0.003,157.00,-2603.00,1.00,-0.01,168.00,0.00
0.058,1379.00,1170.00,0.005,158.00,-2565.00,1.00,-0.01,168.00,0.00
0.059,1379.00,1172.00,0.005,158.00,-2557.00,1.00,-0.01,168.00,0.00
0.060,1379.00,1166.00,0.009,157.00,-2599.00,1.00,-0.01,168.00,0.00
0.061,1379.00,1170.00,0.006,157.00,-2665.00,1.00,-0.01,168.00,0.00
0.062,1379.00,1166.00,0.007,155.00,-2753.00,1.00,-0.01,168.00,0.00
0.063,1379.00,1170.00,-0.011,154.00,-2853.00,1.00,-0.01,168.00,0.00
0.064,1379.00,1192.00,0.009,153.00,-2951.00,1.00,-0.01,168.00,0.00
0.065,1379.00,1184.00,0.002,152.00,-3023.00,1.00,-0.01,168.00,0.00
0.066,1379.00,1178.00,0.011,152.00,-3067.00,1.00,-0.01,168.00,0.00
0.067,1379.00,1182.00,0.004,152.00,-3081.00,1.00,-0.01,168.00,0.00
